Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
企业用户生成-证书,64,1137,790,902,5779,5813,524,6975,31.250%,.09849,0.04,0.10
认证签署流程创建,42,2753,1666,1837,1931,49221,155,49221,7.143%,.06424,0.03,1.88
认证流程,71,2446,1748,1906,6808,9411,573,45772,33.803%,.10936,0.06,0.07
企业印章生成-必填正常,44,2084,827,921,942,50685,765,50685,2.273%,.07635,0.03,0.03
signRecordNo-interface,39,197,197,214,227,323,136,323,0.000%,.06069,0.03,0.02
获取实名认证短信,77,820,888,962,1015,1126,312,6030,0.000%,.11994,0.05,0.05
企业三要素,22,592,549,617,650,1350,511,1350,0.000%,.04230,0.02,0.02
企业四要素,21,568,562,611,613,683,503,683,0.000%,.04257,0.02,0.02
实名认证,47,1952,914,999,1019,49604,832,49604,0.000%,.08256,0.03,0.03
查询签署人实名认证状态,77,250,153,170,186,463,84,7329,1.299%,.12102,0.07,0.05
上传并创建合同-必填正常,43,2482,1112,1290,6079,45642,1011,45642,2.326%,.07607,0.03,18.66
获取签署人印章,37,254,254,274,288,369,156,369,2.703%,.05863,0.04,0.02
查询合同-已创建,42,817,592,683,750,9276,539,9276,0.000%,.08348,0.05,0.03
获取意愿签署短信验证码,34,1298,1157,1307,2482,6257,429,6257,29.412%,.05474,0.02,0.02
批量添加签署者-企业,42,783,707,774,901,3142,664,3142,0.000%,.08306,0.04,0.03
查询合同未签署,42,1673,654,748,765,42824,584,42824,2.381%,.07668,0.04,0.03
用户意愿认证签署,24,3851,1578,6524,6610,46241,1226,46241,8.333%,.04379,0.02,0.02
查询合同-已发送，正在签署中,41,2129,602,706,6190,48533,541,48533,2.439%,.07570,0.04,0.03
根据签署编号查询签署流程,22,735,310,420,727,9011,280,9011,0.000%,.04565,0.03,0.02
设置合同签署参数-必填正常,40,1093,715,789,5675,5729,640,5729,0.000%,.08468,0.04,0.04
根据签署编号查询签署详情,22,668,651,716,827,860,593,860,0.000%,.04560,0.06,0.02
发送签署验证码-必填正常,40,684,674,729,813,839,615,839,0.000%,.08468,0.04,0.04
带校验自动签-必填正常,40,2212,1385,6376,6395,6409,1237,6409,0.000%,.08396,0.04,0.05
锁定并结束合同-必填正常,40,3477,971,1120,9898,49428,918,49428,5.000%,.07712,0.03,0.03
TOTAL,1013,1449,716,1715,1889,9898,84,50685,6.614%,1.54869,0.78,18.67
